City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,fort bragg,35.139,-79.006,56.93,30,0,3.44,US,1741046021
340,kindu,-2.95,25.95,70.79,99,100,2.06,CD,1741046025
341,gaspe,48.8334,-64.4819,8.82,61,20,8.05,CA,1741046029
342,araripina,-7.5761,-40.4983,75.88,60,59,8.61,BR,1741046033
343,progreso,21.2833,-89.6667,75.87,80,0,15.08,MX,1741046037
344,isna,25.2934,32.554,63.64,23,51,7.9,EG,1741046041
345,terbuny,52.1389,38.2789,32.22,98,100,15.99,RU,1741046045
346,allapalli,19.4167,80.0667,70.14,31,46,1.81,IN,1741046049
347,iaciara,-14.0958,-46.6317,77.45,52,80,2.91,BR,1741046053
348,usogorsk,63.4106,48.6872,21.36,95,100,7.99,RU,1741046058
349,urengoy,65.9667,78.3667,-8.23,100,100,4.76,RU,1741046062
350,marksville,31.128,-92.0662,63.86,80,99,10.29,US,1741046066
351,date,42.4681,140.8681,27.34,52,52,6.06,JP,1741046074
352,iwanai,42.9744,140.5089,28.2,50,98,7.67,JP,1741046078
353,bamboo flat,11.7,92.7167,71.69,94,87,2.3,IN,1741046082
354,antsiranana,-12.2787,49.2917,76.17,92,28,3.42,MG,1741046086
355,tierp,60.3427,17.5181,40.96,71,100,13.15,SE,1741046091
356,anse royale,-4.7333,55.5167,81.18,78,20,6.91,SC,1741046095
357,manaure,11.7751,-72.4445,79.57,72,98,21.59,CO,1741046099
358,opuwo,-18.0607,13.84,68.23,58,96,4.81,NA,1741046103
359,richards bay,-28.783,32.0377,71.28,90,6,5.46,ZA,1741046107
360,codajas,-3.8367,-62.0569,77.41,88,100,2.64,BR,1741046111
361,maroua,10.591,14.3159,83.35,17,81,8.05,CM,1741046115
